ed2011_ed11form,ed2011_ed11form-2,ed2011_ed11form-3,l0101104,l020100,l020105,l020106,l020107,l060100,l060101,l060105,l060106,l060107,l060111,l060800,l060802
E01001,E01001,E01001,4181,3236,243,0,4070,1300,372,1765,3115,614,3917,1805,2391
E01002,E01002,E01002,1272,1068,40,0,1260,436,74,543,1065,119,1243,550,744
E01003,E01003,E01003,560,518,8,0,559,180,3,191,536,8,560,188,218
E01004,E01004,E01004,1091,1010,11,0,1083,367,6,384,1063,11,1103,384,471
E01005,E01005,E01005,259,246,2,0,259,86,2,92,253,7,269,92,106
E01006,E01006,E01006,327,303,1,0,327,120,1,121,349,1,350,121,140
E01007,E01007,E01007,662,605,11,0,662,232,1,240,661,1,671,240,292
E01008,E01008,E01008,838,756,7,0,837,308,2,313,846,2,853,313,363
E01009,E01009,E01009,338,313,6,0,335,114,1,115,343,1,344,116,135
E01010,E01010,E01010,297,272,6,0,297,103,1,105,298,3,303,105,129
E01011,E01011,E01011,382,361,5,0,382,123,0,123,385,0,385,123,140
E01012,E01012,E01012,1005,911,13,0,994,339,5,349,995,6,1009,347,375
E01013,E01013,E01013,559,510,12,0,558,184,2,187,568,5,574,186,213
E01014,E01014,E01014,710,605,17,0,708,220,5,228,666,13,686,229,264
E01015,E01015,E01015,427,390,6,0,426,141,0,144,433,0,436,141,156
E01016,E01016,E01016,329,313,4,0,329,117,0,118,331,0,335,118,126
E01017,E01017,E01017,1041,876,25,0,1038,358,7,368,953,13,975,369,440
E01018,E01018,E01018,465,423,10,0,462,158,0,160,466,0,472,161,177
E01019,E01019,E01019,13947,10799,670,0,13836,4718,142,4993,13196,264,13821,5039,5660
E01020,E01020,E01020,996,914,13,0,994,320,1,336,968,2,1007,328,371
E01021,E01021,E01021,978,897,6,0,975,335,2,340,979,3,986,338,421
E01022,E01022,E01022,532,483,9,0,525,175,0,179,537,0,543,178,191
E01023,E01023,E01023,1067,862,20,0,1063,354,16,377,1049,35,1098,376,426
E01024,E01024,E01024,736,678,11,0,736,248,1,254,734,1,750,254,297
E01025,E01025,E01025,589,536,3,0,584,186,0,193,580,0,602,190,243
E01026,E01026,E01026,424,374,11,0,422,147,3,152,404,8,418,155,200
E01027,E01027,E01027,569,540,7,0,569,189,2,194,556,6,572,194,210
E01028,E01028,E01028,1001,916,15,0,993,325,7,334,999,10,1013,335,368
E01029,E01029,E01029,449,399,8,0,448,142,4,149,432,8,443,149,163
E01030,E01030,E01030,424,377,5,0,423,136,1,142,418,2,432,140,185
E01031,E01031,E01031,359,340,8,0,359,107,0,110,351,0,360,110,117
E01032,E01032,E01032,1558,1373,44,0,1546,515,28,561,1463,51,1555,562,678
E01033,E01033,E01033,646,599,9,0,642,215,4,223,642,6,653,220,248
E01034,E01034,E01034,2775,2374,61,0,2765,958,41,1016,2638,63,2752,1017,1202
E01035,E01035,E01035,606,541,5,0,605,194,0,196,609,0,613,196,222
E01036,E01036,E01036,867,824,3,0,863,263,3,271,865,5,882,269,304
