"ed2016_ed11form","ed2016_ed11form-2","ed2016_ed11form-3","s0101104","s020100","s020105","s020106","s060100","s060101","s060105","s060106","s060107","s060111","s060800","s060804"
"E01001","E01001","E01001",4560,3471,355,4463,1364,558,2006,3170,963,4322,2041,2415
"E01002","E01002","E01002",1405,1255,28,1401,451,129,610,1081,245,1388,609,747
"E01003","E01003","E01003",526,489,8,524,181,0,185,534,0,541,185,223
"E01004","E01004","E01004",1117,1026,13,1110,379,7,398,1075,20,1122,396,461
"E01005","E01005","E01005",296,275,4,294,96,1,100,289,1,297,100,111
"E01006","E01006","E01006",343,312,3,342,118,0,120,335,0,340,120,138
"E01007","E01007","E01007",729,654,14,725,247,3,253,723,3,733,255,296
"E01008","E01008","E01008",875,794,14,872,302,4,311,851,12,874,311,356
"E01009","E01009","E01009",332,313,7,331,109,0,112,325,0,332,113,130
"E01010","E01010","E01010",283,261,4,279,101,0,101,283,0,283,101,130
"E01011","E01011","E01011",395,374,6,394,125,0,129,386,0,395,128,140
"E01012","E01012","E01012",1025,934,24,1021,343,9,356,1016,16,1040,356,388
"E01013","E01013","E01013",562,507,8,558,195,0,197,573,0,580,197,215
"E01014","E01014","E01014",717,635,14,717,219,6,237,667,10,697,237,257
"E01015","E01015","E01015",425,386,8,423,147,0,149,437,0,441,148,161
"E01016","E01016","E01016",344,325,4,342,116,1,118,343,2,347,119,129
"E01017","E01017","E01017",1051,882,25,1035,348,6,361,951,10,972,361,442
"E01018","E01018","E01018",525,482,10,525,165,1,168,530,1,536,167,177
"E01019","E01019","E01019",14546,11362,718,14429,4924,171,5207,13877,281,14480,5239,5696
"E01020","E01020","E01020",1038,951,11,1034,337,0,352,1011,0,1049,345,377
"E01021","E01021","E01021",1001,907,12,995,345,1,352,1001,1,1016,353,420
"E01022","E01022","E01022",537,492,8,532,182,0,187,538,0,546,185,199
"E01023","E01023","E01023",1103,930,18,1093,350,24,386,1029,47,1116,387,431
"E01024","E01024","E01024",781,706,12,773,257,4,266,764,6,794,267,297
"E01025","E01025","E01025",580,545,3,577,197,3,202,578,9,590,203,247
"E01026","E01026","E01026",465,400,23,464,181,0,183,474,0,476,182,201
"E01027","E01027","E01027",589,550,6,586,198,1,199,598,2,600,199,215
"E01028","E01028","E01028",974,894,20,966,334,3,341,975,8,994,340,375
"E01029","E01029","E01029",438,397,6,430,148,1,150,432,2,439,152,167
"E01030","E01030","E01030",405,369,2,403,138,0,142,400,0,409,140,177
"E01031","E01031","E01031",373,337,9,368,114,0,115,378,0,379,115,119
"E01032","E01032","E01032",1641,1430,35,1612,573,32,608,1542,65,1611,608,702
"E01033","E01033","E01033",654,606,7,651,219,0,226,633,0,658,226,254
"E01034","E01034","E01034",2752,2339,67,2743,983,64,1074,2622,110,2791,1075,1203
"E01035","E01035","E01035",593,534,4,592,192,0,202,574,0,603,202,224
"E01036","E01036","E01036",855,816,3,855,279,1,286,862,3,876,282,309
"E01037","E01037","E01037",576,531,6,575,191,2,194,585,8,594,196,214
"E01038","E01038","E01038",122,104,4,121,49,0,51,117,0,120,51,68
"E01039","E01039","E01039",445,412,5,441,123,0,126,394,0,397,123,136
"E01040","E01040","E01040",1110,1025,7,1102,323,3,338,1055,12,1107,336,376
"E01041","E01041","E01041",292,270,3,292,86,1,91,282,2,294,87,103
"E01042","E01042","E01042",513,453,15,512,161,1,169,499,1,522,169,190
"E01043","E01043","E01043",506,466,2,500,172,0,177,488,0,507,176,197
"E01044","E01044","E01044",437,387,19,436,140,1,143,438,2,443,142,169
"E01045","E01045","E01045",419,392,8,417,142,1,146,416,1,424,145,164
"E01046","E01046","E01046",622,549,6,620,192,1,196,590,6,605,196,212
"E01047","E01047","E01047",846,706,17,815,255,1,259,679,3,693,263,330
"E01048","E01048","E01048",3978,3076,93,3964,1327,95,1469,3656,211,4001,1469,1658
"E01049","E01049","E01049",275,260,0,274,90,0,92,263,0,269,93,112
"E01050","E01050","E01050",208,185,4,208,73,0,76,208,0,214,74,82
"E01051","E01051","E01051",379,344,4,375,127,0,130,370,0,376,129,157
"E01052","E01052","E01052",320,310,2,320,111,1,113,322,1,324,113,128
"E01053","E01053","E01053",401,380,1,400,127,0,128,399,0,402,127,139
"E01054","E01054","E01054",648,578,16,645,239,7,250,634,10,650,251,310
"E02001","E02001","E02001",1785,1057,320,1721,464,217,713,1168,477,1708,729,800
"E02002","E02002","E02002",4166,2133,858,4069,451,1192,1686,1030,2729,3814,1702,1927
"E02003","E02003","E02003",4471,2000,811,3952,139,1581,1745,390,3485,3933,1775,2119
"E02004","E02004","E02004",3109,2066,270,2806,897,266,1209,2032,470,2579,1219,1417
"E02005","E02005","E02005",3293,2491,248,3261,1222,333,1600,2666,603,3352,1608,1797
"E02006","E02006","E02006",10566,8135,802,10508,2163,1791,3983,6373,4125,10582,3995,4373
"E02007","E02007","E02007",2643,2222,146,2616,893,146,1043,2369,296,2680,1047,1151
"E02008","E02008","E02008",5639,4974,196,5610,1509,515,2036,4551,1121,5708,2039,2163
