"ed2022_ed11form","ed2022_ed11form-2","ed2022_ed11form-3","w0101104","w020100","w020105","w020106","w020103","w060100","w060101","w060104","w060105","w060106","w060109","w060800","w060804"
"E01001","E01001","E01001",5049,3516,497,4864,83,1424,725,2152,3388,1353,4745,2182,2493
"E01002","E01002","E01002",1655,1288,116,1648,17,519,194,713,1259,375,1634,715,802
"E01003","E01003","E01003",548,503,10,543,0,196,0,199,562,0,568,198,226
"E01004","E01004","E01004",1226,1097,28,1215,4,422,13,436,1202,28,1231,435,487
"E01005","E01005","E01005",314,282,12,313,0,100,0,101,316,0,317,101,110
"E01006","E01006","E01006",371,335,9,367,0,132,0,132,379,0,379,133,150
"E01007","E01007","E01007",792,698,30,792,0,271,0,272,802,0,804,271,308
"E01008","E01008","E01008",931,822,25,925,0,334,3,338,924,9,935,337,378
"E01009","E01009","E01009",348,320,12,347,4,114,0,115,349,0,353,115,127
"E01010","E01010","E01010",327,297,12,325,0,112,0,112,332,0,332,112,134
"E01011","E01011","E01011",419,397,8,417,0,135,0,137,427,0,431,135,149
"E01012","E01012","E01012",1122,1019,15,1118,11,385,9,395,1119,11,1131,394,410
"E01013","E01013","E01013",599,551,13,599,0,208,0,210,608,0,610,208,224
"E01014","E01014","E01014",788,678,22,786,17,243,8,251,745,21,766,253,278
"E01015","E01015","E01015",451,406,6,446,0,156,0,158,445,0,451,156,169
"E01016","E01016","E01016",351,331,4,347,0,120,0,120,352,0,352,120,133
"E01017","E01017","E01017",1084,908,25,1073,15,386,5,392,1033,9,1043,392,465
"E01018","E01018","E01018",529,499,8,527,1,171,1,172,525,2,527,172,186
"E01019","E01019","E01019",16203,12119,1228,16094,135,5523,237,5763,15720,426,16155,5792,6191
"E01020","E01020","E01020",1138,1016,20,1129,0,387,1,393,1143,1,1156,389,406
"E01021","E01021","E01021",1105,1012,17,1100,0,374,5,380,1101,11,1113,384,444
"E01022","E01022","E01022",560,513,7,559,1,185,1,192,543,4,562,187,206
"E01023","E01023","E01023",1218,1020,33,1212,4,390,28,418,1155,58,1213,420,461
"E01024","E01024","E01024",857,774,16,854,2,274,1,275,853,2,855,276,303
"E01025","E01025","E01025",648,598,6,642,0,212,3,217,638,8,650,215,249
"E01026","E01026","E01026",589,512,11,581,4,193,0,193,545,0,545,195,210
"E01027","E01027","E01027",610,572,5,607,0,206,1,207,616,1,617,208,223
"E01028","E01028","E01028",982,895,20,976,0,346,7,355,984,13,1002,356,387
"E01029","E01029","E01029",458,417,5,454,0,164,0,164,464,0,464,164,177
"E01030","E01030","E01030",458,409,8,452,0,158,0,160,460,0,464,158,190
"E01031","E01031","E01031",395,364,14,394,0,118,0,119,398,0,399,118,125
"E01032","E01032","E01032",1679,1456,55,1667,12,591,43,637,1561,82,1647,635,704
"E01033","E01033","E01033",719,648,22,716,0,237,0,238,720,0,721,238,266
"E01034","E01034","E01034",2945,2447,102,2928,13,1065,85,1150,2787,162,2949,1152,1260
"E01035","E01035","E01035",603,527,9,601,0,216,2,219,608,2,611,218,238
"E01036","E01036","E01036",893,835,3,881,0,290,1,294,882,1,890,291,318
"E01037","E01037","E01037",606,549,8,604,1,198,0,199,606,0,609,199,219
"E01038","E01038","E01038",137,114,3,131,0,52,0,53,133,0,134,52,73
"E01039","E01039","E01039",438,409,5,436,0,133,0,135,393,0,395,134,145
"E01040","E01040","E01040",1139,1044,12,1127,3,345,1,350,1132,1,1140,349,380
"E01041","E01041","E01041",298,269,9,295,0,90,1,92,298,2,304,91,102
"E01042","E01042","E01042",568,521,19,568,0,186,0,187,580,0,582,186,206
"E01043","E01043","E01043",559,515,5,559,0,192,0,192,566,0,566,192,208
"E01044","E01044","E01044",487,419,22,484,0,159,0,160,501,0,504,159,175
"E01045","E01045","E01045",470,434,10,466,0,158,0,160,463,0,469,159,176
"E01046","E01046","E01046",618,546,5,616,2,197,0,198,609,0,610,200,220
"E01047","E01047","E01047",952,744,50,933,16,297,0,301,797,0,805,301,338
"E01048","E01048","E01048",4397,3310,165,4380,16,1465,156,1621,4094,360,4454,1624,1728
"E01049","E01049","E01049",282,268,1,282,0,94,1,95,284,2,286,95,120
"E01050","E01050","E01050",211,181,3,211,0,75,0,75,212,0,212,75,90
"E01051","E01051","E01051",395,364,4,392,0,133,1,136,403,1,408,135,172
"E01052","E01052","E01052",360,336,7,358,0,121,0,121,364,0,364,121,139
"E01053","E01053","E01053",433,401,3,430,0,130,0,132,427,0,431,131,157
"E01054","E01054","E01054",654,587,6,652,0,242,9,252,634,14,651,254,322
"E02001","E02001","E02001",1784,1054,325,1767,51,476,220,697,1193,477,1671,700,780
"E02002","E02002","E02002",5529,2443,1303,5443,192,420,1280,1705,952,3024,3988,1718,1899
"E02003","E02003","E02003",4646,2070,1092,4382,142,153,1746,1900,400,3831,4233,1915,2161
"E02004","E02004","E02004",3308,2124,402,3224,43,874,441,1316,1978,779,2759,1321,1513
"E02005","E02005","E02005",3377,2478,346,3351,18,1206,440,1647,2635,778,3415,1657,1835
"E02006","E02006","E02006",12094,8653,1368,12002,363,2565,1986,4552,7464,4592,12058,4560,4864
"E02007","E02007","E02007",2843,2367,187,2814,12,907,150,1057,2492,321,2813,1065,1173
"E02008","E02008","E02008",5863,5042,249,5829,81,1529,597,2128,4518,1264,5790,2128,2235
"E02009","E02009","E02009",4004,2802,523,3956,52,901,770,1672,2321,1617,3939,1683,1900
"E02010","E02010","E02010",4184,1979,1075,3973,103,638,1037,1675,1709,2077,3786,1691,1885
"E02011","E02011","E02011",3602,2792,285,3586,84,882,426,1308,2566,1062,3628,1312,1415
"E02012","E02012","E02012",1930,1714,72,1916,5,617,88,705,1616,134,1750,708,777
"E02013","E02013","E02013",3646,3219,129,3609,22,1258,65,1323,3450,102,3552,1325,1409
"E02014","E02014","E02014",2526,2172,117,2514,7,908,65,973,2417,125,2542,976,1026
"E02015","E02015","E02015",5735,4130,654,5720,240,1117,825,1942,3675,2117,5792,1945,2053
"E02016","E02016","E02016",4273,3592,204,4218,53,1113,373,1513,3201,955,4229,1494,1561
"E02017","E02017","E02017",5729,4750,323,5711,47,1567,539,2111,4432,1234,5676,2126,2282
"E02018","E02018","E02018",2551,2049,177,2550,26,714,258,975,1966,600,2570,977,1019
"E02019","E02019","E02019",1674,1432,85,1657,5,597,1,599,1655,3,1661,603,639
"E02020","E02020","E02020",2359,2113,108,2349,4,882,13,895,2335,39,2374,897,959
"E02021","E02021","E02021",2668,2254,149,2639,26,1007,3,1012,2659,4,2666,1017,1099
"E02022","E02022","E02022",5103,4106,394,5061,246,1270,262,1532,3594,581,4175,1534,1631
"E02023","E02023","E02023",3382,2744,240,3358,32,1081,245,1327,2873,518,3394,1328,1450
"E02024","E02024","E02024",2085,1768,128,2065,22,753,1,754,2098,1,2099,755,780
"E02025","E02025","E02025",1941,1705,85,1927,3,760,1,762,1942,7,1952,769,845
"E02026","E02026","E02026",3893,3228,276,3881,38,1260,117,1377,3633,292,3925,1383,1457
"E02027","E02027","E02027",3331,2583,314,3312,37,826,529,1355,2171,1070,3241,1363,1525
"E02028","E02028","E02028",3606,2681,379,3534,32,983,464,1447,2733,847,3580,1456,1632
"E02029","E02029","E02029",2362,1661,287,2344,17,644,300,945,1854,553,2409,951,1039
"E02030","E02030","E02030",5910,3906,808,5867,87,1357,907,2584,3805,1601,5994,2597,2817
"E02031","E02031","E02031",3746,3041,307,3734,24,1342,185,1529,3334,387,3724,1536,1677
"E02032","E02032","E02032",4239,2721,710,4197,64,910,862,1867,2419,1623,4176,1880,2083
"E02033","E02033","E02033",1441,1324,33,1436,1,532,9,541,1440,9,1449,542,572
"E02034","E02034","E02034",2646,2239,187,2638,19,911,183,1094,2418,264,2682,1098,1160
"E02035","E02035","E02035",2883,2381,210,2858,15,1019,54,1073,2684,108,2792,1077,1162
"E02036","E02036","E02036",2816,2156,244,2789,43,852,204,1113,2315,455,2828,1114,1209
"E02037","E02037","E02037",3626,3122,150,3583,16,1134,224,1358,3262,328,3590,1361,1478
"E02038","E02038","E02038",7204,5831,435,7132,56,2104,627,2732,6009,1214,7227,2744,3104
"E02039","E02039","E02039",3189,2634,215,3146,12,937,256,1193,2654,440,3094,1197,1323
"E02040","E02040","E02040",2859,2407,146,2807,11,884,159,1043,2579,234,2813,1050,1164
"E02041","E02041","E02041",1748,1514,74,1729,8,530,66,596,1515,133,1648,599,650
"E02042","E02042","E02042",3758,3071,250,3739,53,1265,178,1443,3418,366,3784,1447,1569
"E02043","E02043","E02043",2395,2057,122,2375,7,955,64,1021,2324,78,2405,1022,1096
"E02044","E02044","E02044",4130,2960,468,4074,64,885,864,1749,2389,1669,4058,1757,1951
"E02045","E02045","E02045",2530,1675,378,2512,39,779,317,1096,1967,554,2521,1104,1218
"E02046","E02046","E02046",2483,2113,114,2470,6,913,42,955,2430,76,2506,959,1035
"E02047","E02047","E02047",5923,4123,775,5854,68,1295,944,2239,3711,2073,5784,2257,2473
"E02048","E02048","E02048",1889,1247,265,1878,51,361,477,838,906,959,1865,844,938
"E02049","E02049","E02049",3337,2646,237,3242,11,1202,83,1285,3106,163,3269,1297,1462
"E02050","E02050","E02050",2831,2488,107,2824,18,907,100,1007,2465,202,2667,1009,1071
"E02051","E02051","E02051",3205,2914,89,3196,5,1118,4,1133,3175,8,3207,1124,1197
"E02052","E02052","E02052",2922,2626,114,2910,2,988,106,1094,2830,125,2955,1095,1179
"E02053","E02053","E02053",3678,3157,159,3657,12,1286,79,1365,3507,179,3686,1370,1467
"E02054","E02054","E02054",2909,2572,113,2891,1,999,48,1047,2842,61,2903,1049,1143
"E02055","E02055","E02055",4457,3577,311,4437,22,1046,534,1581,3164,1243,4409,1583,1767
"E02056","E02056","E02056",2566,2386,36,2558,0,872,5,877,2575,11,2586,877,930
