Year, NbXMLFiles, NbXMLHousingCrisisFiles
1990,9847,50
1991,10196,63
1992,9988,75
1993,12209,32
1994,9385,15
1995,12521,10
1996,17471,0
1997,15127,8
1998,16987,99
1999,17547,161
2000,20146,159
2001,21933,96
2002,16874,62
2003,22184,104
2004,43657,89
2005,50829,34
2006,55201,52
2007,43358,12
2008,54536,53
2009,51378,22
2010,52130,10
2011,48184,27
2012,46426,31
2013,2448,55
2014,2006,148
2015,2076,167
2016,1424,195
2017,2276,226
2018,2196,248
2019,2118,210
2020,1079,99
2021,1793,244
2022,2187,326
2023,2099,306
2024,1613,198
2025,1917,255
